,city,cloudiness,country,humidity,lat,temp,wind
0,tiznit,0,ma,68,29.58,70.11139999999995,0.77
1,herat,0,af,38,34.35,67.6814,4.47
2,olafsvik,0,is,100,64.89,49.77140000000003,6.57
3,segou,8,ml,87,13.43,79.83139999999997,1.22
4,hammerfest,20,no,75,70.66,46.39999999999998,6.7
5,tessalit,20,ml,18,20.2,81.00139999999993,1.07
6,hamilton,20,bm,70,32.29,84.19999999999999,3.1
7,rasra,0,in,87,25.85,78.39139999999992,1.52
8,doka,20,sd,84,13.52,76.0514,1.27
9,cap malheureux,75,mu,56,-19.98,73.39999999999992,7.2
10,aragarcas,44,br,22,-15.9,94.3214000000001,1.62
11,maromitsa,92,ru,99,59.87,55.261399999999924,2.22
12,kyenjojo,20,ug,90,0.63,59.31139999999988,1.22
13,oktyabrskoye,0,ru,86,43.06,51.9314,1.02
14,beziers,0,fr,82,43.35,66.19999999999999,2.1
15,garowe,12,so,45,8.41,83.4314,6.82
16,hit,0,iq,17,33.64,74.7913999999999,1.97
17,tambura,36,sd,93,4.09,66.69139999999999,2.32
18,libreville,40,ga,78,0.39,78.80000000000001,3.1
19,kutum,68,sd,55,14.2,75.51139999999992,4.02
20,bethanien,20,na,25,-26.48,56.88140000000004,1.42
21,kegayli,0,uz,64,42.78,69.80000000000001,2.1
22,pietarsaari,90,fi,93,63.67,51.799999999999955,1.5
23,bicester,36,gb,100,51.9,57.19999999999999,4.6
24,tarnos,75,fr,77,43.54,64.39999999999992,2.6
25,vardo,75,no,75,70.37,44.599999999999966,10.3
26,cayenne,0,gf,78,4.93,82.39999999999992,3.1
27,santiago de compostela,75,es,100,42.88,62.599999999999966,1.5
28,pavino,100,ru,100,59.11,52.651400000000024,1.67
29,bonfim,32,br,38,3.08,94.59139999999996,2.97
30,aripuana,24,br,33,-9.17,96.21139999999997,1.62
31,ericeira,20,pt,82,38.96,64.39999999999992,6.7
32,comodoro rivadavia,75,ar,80,-45.87,40.99999999999994,5.1
33,barreiras,0,br,28,-12.15,85.59139999999996,3.57
34,varkaus,90,fi,93,62.33,49.99999999999994,4.17
35,mantua,32,cu,89,22.29,83.4314,1.42
36,jurado,92,co,100,7.11,75.15140000000002,2.82
37,ambanja,20,mg,74,-13.68,69.9314,0.77
38,hobyo,20,so,83,5.35,77.31139999999988,8.32
39,phalaborwa,0,za,47,-23.94,68.85139999999996,1.22
40,jalu,0,ly,42,29.03,75.78140000000002,3.77
41,ilulissat,40,gl,74,69.22,35.599999999999966,3.6
42,cascais,20,pt,82,38.7,64.39999999999992,6.7
43,saint-augustin,0,ca,89,51.23,58.4113999999999,7.17
44,escanaba,40,us,55,45.75,60.80000000000001,2.6
45,maxixe,0,mz,100,-23.86,69.75139999999993,4.07
46,koroni,0,gr,77,36.8,69.80000000000001,5.97
47,tumannyy,76,ru,81,69.16,44.011399999999924,6.12
48,anori,20,br,51,-3.77,93.69139999999999,1.77
49,ostrovnoy,8,ru,80,68.05,42.03140000000002,8.17
50,cangucu,0,br,78,-31.39,71.59999999999997,2.6
51,lincoln,0,ar,51,-34.87,68.58139999999997,4.47
52,severnyy,0,ru,82,50.68,55.39999999999992,3.0
53,maceio,20,br,73,-9.67,75.19999999999999,4.1
54,bayan,0,kw,20,29.3,96.80000000000001,7.7
55,illoqqortoormiut,0,gl,77,41.9,66.19999999999999,1.5
56,manaus,40,br,55,-3.1,89.59999999999997,1.5
57,tinde,8,tz,61,-3.88,68.85139999999996,4.62
58,yenagoa,64,ng,96,4.92,73.08139999999997,2.17
59,bongandanga,0,cd,94,1.5,74.61139999999995,0.97
60,ringwood,75,us,52,41.11,71.59999999999997,2.1
61,ndjole,44,ga,88,-0.18,74.70139999999998,2.92
62,punta alta,80,ar,78,-38.88,56.971400000000074,3.87
63,nortelandia,8,br,74,-14.45,87.3014,1.42
64,chegutu,0,zw,38,-18.13,65.7913999999999,4.72
65,belyy yar,40,ru,87,53.6,44.599999999999966,3.42
66,bonthe,92,sl,100,7.53,71.9113999999999,0.97
67,upata,32,ve,60,8.01,86.76139999999992,3.12
68,vagur,92,fo,96,61.47,53.011399999999924,9.07
69,nzerekore,88,gn,100,7.76,68.31139999999988,1.52
70,tambacounda,75,sn,88,13.75,82.39999999999992,2.1
71,vestbygda,92,no,100,58.1,54.721400000000074,4.87
72,carlisle,88,gb,100,54.9,49.99999999999994,5.1
73,rio de janeiro,0,br,73,-22.9,76.99999999999994,4.6
74,ulcinj,0,me,100,41.93,64.39999999999992,1.5
75,jeremie,64,ht,95,18.65,83.4314,8.17
76,emba,0,kz,75,51.18,40.99999999999994,3.0
77,coihaique,40,cl,56,-45.58,42.799999999999955,2.6
78,luena,0,ao,29,-11.78,68.94139999999999,3.32
79,codrington,0,ag,100,51.5,53.599999999999966,3.1
80,selishche,88,ru,100,56.89,52.56139999999988,3.77
81,damghan,0,ir,68,36.17,66.15140000000002,1.52
82,jevnaker,92,no,100,60.24,47.881399999999985,3.47
83,waidhofen,0,at,82,47.96,55.39999999999992,2.1
84,klaebu,0,no,62,63.3,55.39999999999992,6.2
85,doha,0,kw,20,29.33,96.80000000000001,7.7
86,pisco,90,pe,77,-13.7,64.39999999999992,3.6
87,vieques,1,us,32,32.93,84.19999999999999,4.6
88,matagami,20,ca,47,49.75,55.39999999999992,4.6
89,semey,8,kz,87,50.41,42.21139999999991,0.82
90,killybegs,92,ie,100,54.63,53.101399999999956,9.02
91,inhambane,0,mz,100,-23.86,69.75139999999993,4.07
92,gayeri,48,bf,79,12.65,79.56139999999988,2.42
93,bonavista,80,ca,77,48.65,66.33139999999997,7.92
94,sainte-marie,90,re,73,-20.9,69.80000000000001,8.2
95,tazovskiy,64,ru,91,67.47,37.351399999999956,6.32
96,cockburn town,92,bs,100,24.03,79.65140000000002,19.47
97,mabaruma,64,gy,83,8.2,85.23139999999995,3.17
98,manicore,20,br,59,-5.81,89.59999999999997,1.5
99,uttukkuli,75,in,94,11.17,73.39999999999992,2.1
100,vite,88,in,97,17.28,69.9314,1.67
101,henties bay,0,na,93,-22.12,57.511399999999924,1.87
102,aranda de duero,0,es,51,41.67,54.99139999999994,3.17
103,hermanus,32,za,96,-34.42,44.46139999999991,0.92
104,tigzirt,0,dz,81,36.89,62.73139999999995,1.17
105,yarada,68,in,99,17.65,86.13140000000004,3.02
106,toliary,0,mg,100,-23.35,64.08139999999997,1.37
107,floro,80,no,62,61.6,58.99999999999994,4.1
108,alpena,1,us,54,45.06,58.99999999999994,4.37
109,nicoya,40,cr,79,10.15,84.19999999999999,4.6
110,chimbote,8,pe,79,-9.09,66.24139999999994,3.27
111,macon,0,fr,59,46.3,62.599999999999966,3.1
112,tefe,20,br,70,-3.35,87.80000000000001,2.1
113,bolungarvik,20,is,100,66.08,41.761399999999924,1.72
114,richards bay,12,za,99,-28.78,62.64139999999992,1.62
115,vilhena,75,br,65,-12.74,78.80000000000001,6.2
116,benjamin constant,0,br,70,-4.38,85.99999999999994,2.6
117,praia,20,cv,78,14.92,80.59999999999997,6.2
118,maarianhamina,90,fi,87,60.1,51.799999999999955,4.37
119,khandbari,36,np,66,27.37,43.381399999999985,0.77
120,tororo,8,ug,90,0.69,62.011399999999924,1.27
121,el alto,0,pe,64,-4.27,75.19999999999999,5.7
122,olinda,75,br,78,-8.01,76.99999999999994,6.7
123,samdari,0,in,62,25.82,81.09139999999996,3.02
124,kawambwa,100,zm,42,-9.79,76.59139999999996,1.22
